,User_id,Activity_Time,Brightness,Light,Activity_Time_2H,Brightness_2H,Light_2H,Awake,Light_Sleep,Deep_Sleep,REM,Total_Minutes,Start_Sleep_Day,Start_Sleep_Month,Start_Sleep_Hour,Start_Sleep_Minute,End_Sleep_Day,End_Sleep_Month,End_Sleep_Hour,End_Sleep_Minute,Sleep quality
0,1,114,38.0,18.0,39,57.5,31.5,4,99,220,60,379,25,4,3,9,25,4,9,32,1.5
1,1,143,48.0,14.0,69,26.0,1.0,0,355,87,0,442,27,4,0,53,27,4,8,15,3.0
2,1,145,46.5,3.5,68,41.0,14.0,0,435,22,0,457,28,4,2,49,28,4,10,26,4.0
3,1,317,41.0,10.0,6,46.0,15.0,25,542,92,0,634,29,4,3,5,29,4,14,4,2.5
4,1,64,54.0,1.0,30,41.0,0.0,0,301,90,0,391,30,4,3,48,30,4,10,19,4.0
5,1,151,44.0,9.0,48,29.0,5.0,0,301,95,0,396,2,5,1,45,2,5,8,21,3.0
6,1,167,43.0,8.0,89,42.0,9.0,2,405,84,0,489,2,5,23,59,3,5,8,10,3.5
7,1,539,60.0,13.0,24,55.0,45.0,0,371,83,0,454,4,5,2,17,4,5,9,51,2.0
8,1,187,45.0,20.0,55,34.0,5.0,0,354,102,0,456,5,5,2,28,5,5,10,44,4.0
9,2,100,694.0,4.995000123977661,99,694.0,8.707500219345093,12,152,200,53,406,25,4,2,26,25,4,9,25,3.0
10,2,104,924.0,12.55500030517578,52,924.0,19.372501373291016,12,108,205,52,366,26,4,1,51,26,4,8,10,3.0
11,2,41,1362.0,9.382500648498535,38,1362.0,11.7787504196167,26,241,374,81,698,26,4,22,20,27,4,10,25,4.0
12,2,34,22.0,0.0,33,22.0,0.0,0,265,48,43,356,30,4,3,23,30,4,9,19,2.5
13,2,136,963.0,6.4800004959106445,103,771.0,4.522500276565552,2,338,46,56,440,1,5,1,36,1,5,8,58,3.0
14,2,78,823.0,0.0,66,515.0,0.0,0,364,20,56,440,2,5,0,53,2,5,8,13,3.0
15,2,82,903.0,10.9350004196167,59,903.0,7.087500095367432,5,309,133,71,513,3,5,0,4,3,5,8,42,3.5
16,2,48,819.0,5.46750020980835,28,819.0,4.184999942779541,0,306,105,81,492,4,5,1,35,4,5,9,47,4.0
17,2,61,1427.0,33.716251373291016,29,1427.0,9.65250015258789,0,381,83,82,546,5,5,2,23,5,5,11,29,4.5
18,2,184,1194.0,19.71000099182129,87,804.0,27.0,0,292,59,34,385,6,5,5,58,6,5,12,23,2.5
19,2,176,963.0,2.90250015258789,109,22.0,0.0,0,436,84,99,619,8,5,2,21,8,5,12,59,5.0
20,3,50,33.0,25.0,21,33.0,25.5,4,259,44,146,449,25,4,1,53,25,4,9,26,3.0
21,3,29,40.0,2.5,27,67.0,43.0,2,339,68,77,484,25,4,22,57,26,4,7,3,3.0
22,3,15,50.5,0.0,14,62.0,0.0,1,409,80,105,594,26,4,21,52,27,4,7,47,4.0
23,3,74,68.0,43.5,74,68.0,48.0,0,297,57,48,402,28,4,0,20,28,4,7,2,3.0
24,3,36,66.0,24.0,2,65.0,26.0,0,98,12,12,122,29,4,2,33,29,4,4,35,3.0
25,3,568,49.0,3.0,39,39.0,39.0,0,317,104,91,512,30,4,1,57,30,4,10,29,2.0
26,3,3,52.0,9.0,3,52.0,9.0,0,391,8,86,485,1,5,0,51,1,5,8,56,2.5
27,3,143,49.0,3.0,96,55.0,21.5,0,411,65,118,594,2,5,0,5,2,5,9,59,3.0
28,3,176,52.0,4.0,116,50.0,2.0,5,254,74,94,422,3,5,0,23,3,5,7,30,3.0
29,3,73,54.0,18.0,11,54.5,22.5,0,289,34,125,448,4,5,1,39,4,5,9,7,1.5
30,3,143,52.5,11.5,39,47.0,5.0,0,297,28,71,396,5,5,0,55,5,5,7,31,2.0
31,3,54,55.0,20.5,18,56.0,20.5,0,372,41,51,464,6,5,0,57,6,5,8,47,2.0
