,Activity_Time,Brightness,Light,End_Time,Activity_Time(last 2 hours),Start_SleepTime,Brightness(last 2 hours),Light(last 2 hours),Sleep quality,End_SleepTime,Awake,Sleep,Out_Of_Bed,Light_Sleep,Deep_Sleep,REM,Total_Hours
0,0 days 01:40:57.265000,694.0,4.995000123977661,2022-04-25 10:00:43.639000+01:00,0 days 01:39:02.907000,2022-04-25 02:26:16,694.0,8.707500219345093,3.0,2022-04-25 09:25:15,0 days 00:12:45,0 days,0 days,0 days 02:32:59,0 days 03:20:00,0 days 00:53:15,0 days 06:46:14
1,0 days 01:44:25.090000,924.0,12.555000305175781,2022-04-26 08:11:20.498000+01:00,0 days 00:52:32.315000,2022-04-26 01:51:39,924.0,19.372501373291016,3.0,2022-04-26 08:10:24,0 days 00:12:30,0 days,0 days,0 days 01:48:45,0 days 03:25:00,0 days 00:52:30,0 days 06:06:15
2,0 days 00:41:05.381000,1362.0,9.382500648498535,2022-04-27 10:30:24.557000+01:00,0 days 00:38:46.378000,2022-04-26 22:20:26,1362.0,11.7787504196167,4.0,2022-04-27 10:25:21,0 days 00:26:42,0 days,0 days,0 days 04:01:35,0 days 06:14:49,0 days 01:21:49,0 days 11:38:13
3,0 days 00:34:12.377000,22.0,0.0,2022-04-30 09:16:03.080000+01:00,0 days 00:33:57.480000,2022-04-30 03:23:00,22.0,0.0,2.5,2022-04-30 09:19:00,0 days 00:00:00,0 days,0 days,0 days 04:25:00,0 days 00:48:00,0 days 00:43:00,0 days 05:56:00
4,0 days 02:16:06.197000,963.0,6.4800004959106445,2022-05-01 14:27:03.313000+01:00,0 days 01:43:24.723000,2022-05-01 01:36:00,771.0,4.522500276565552,3.0,2022-05-01 08:58:00,0 days 00:02:00,0 days,0 days,0 days 05:38:00,0 days 00:46:00,0 days 00:56:00,0 days 07:20:00
5,0 days 01:18:05.042000,823.0,0.0,2022-05-02 08:41:32.438000+01:00,0 days 01:06:56.460000,2022-05-02 00:53:00,515.0,0.0,3.0,2022-05-02 08:13:00,0 days 00:00:00,0 days,0 days,0 days 06:04:00,0 days 00:20:00,0 days 00:56:00,0 days 07:20:00
6,0 days 01:22:09.536000,903.0,10.9350004196167,2022-05-03 10:43:24.123000+01:00,0 days 00:59:32.633000,2022-05-03 00:04:00,903.0,7.087500095367432,3.5,2022-05-03 08:42:00,0 days 00:05:00,0 days,0 days,0 days 05:09:00,0 days 02:13:00,0 days 01:11:00,0 days 08:33:00
7,0 days 00:48:25.019000,819.0,5.46750020980835,2022-05-04 09:52:32.212000+01:00,0 days 00:28:51.692000,2022-05-04 01:35:00,819.0,4.184999942779541,4.0,2022-05-04 09:47:00,0 days 00:00:00,0 days,0 days,0 days 05:06:00,0 days 01:45:00,0 days 01:21:00,0 days 08:12:00
8,0 days 01:01:38.088000,1427.0,33.716251373291016,2022-05-05 11:52:37.464000+01:00,0 days 00:29:59.880000,2022-05-05 02:23:00,1427.0,9.65250015258789,4.5,2022-05-05 11:29:00,0 days 00:00:00,0 days,0 days,0 days 06:21:00,0 days 01:23:00,0 days 01:22:00,0 days 09:06:00
9,0 days 03:04:14.377000,1194.0,19.71000099182129,2022-05-06 13:49:32.520000+01:00,0 days 01:27:03.765000,2022-05-06 05:58:00,804.0,27.0,2.5,2022-05-06 12:23:00,0 days 00:00:00,0 days,0 days,0 days 04:52:00,0 days 00:59:00,0 days 00:34:00,0 days 06:25:00
10,0 days 02:56:12.050000,963.0,2.9025001525878906,2022-05-08 13:13:24.225000+01:00,0 days 01:49:37.315000,2022-05-08 02:21:00,22.0,0.0,5.0,2022-05-08 12:59:00,0 days 00:00:00,0 days,0 days,0 days 07:16:00,0 days 01:24:00,0 days 01:39:00,0 days 10:19:00
