,Activity_Time,Brightness,Light,End_Time,Activity_Time(last 2 hours),Start_SleepTime,Brightness(last 2 hours),Light(last 2 hours),Sleep quality
1,0 days 01:54:31.036000,38.0,18.0,2022-04-25 09:39:22.910000+01:00,0 days 00:39:34.043000,2022-04-25 03:09:14,57.5,31.5,1.5
2,0 days 01:11:21.426000,53.0,9.5,2022-04-26 08:17:13.896000+01:00,0 days 00:00:00,,,,3.0
3,0 days 02:23:31.996000,48.0,14.0,2022-04-27 12:34:23+01:00,0 days 01:09:39.363000,2022-04-27 00:53:00,26.0,1.0,3.0
4,0 days 02:25:28.570000,46.5,3.5,2022-04-28 11:26:14.570000+01:00,0 days 01:08:02.314000,2022-04-28 02:49:00,41.0,14.0,4.0
5,0 days 05:17:11.577000,41.0,10.0,2022-04-29 14:04:07.688000+01:00,0 days 00:06:30.241000,2022-04-29 03:05:00,46.0,15.0,2.5
6,0 days 01:04:33.555000,54.0,1.0,2022-04-30 11:15:38.285000+01:00,0 days 00:30:51.173000,2022-04-30 03:48:00,41.0,0.0,4.0
7,0 days 02:40:06.289000,43.0,37.0,2022-05-01 12:38:24.491000+01:00,0 days 00:00:00,,,,0.0
8,0 days 02:31:33.601000,44.0,9.0,2022-05-02 08:22:12.429000+01:00,0 days 00:48:14.992000,2022-05-02 01:45:00,29.0,5.0,3.0
9,0 days 02:47:11.090000,43.0,8.0,2022-05-03 08:00:26.795000+01:00,0 days 01:29:23.347000,2022-05-02 23:59:00,42.0,9.0,3.5
10,0 days 08:59:23.658000,60.0,13.0,2022-05-04 09:50:52.658000+01:00,0 days 00:24:44.795000,2022-05-04 02:17:00,55.0,45.0,2.0
11,0 days 03:07:04.676000,45.0,20.0,2022-05-05 11:21:57.190000+01:00,0 days 00:55:35.570000,2022-05-05 02:28:00,34.0,5.0,4.0
12,0 days 03:11:47.053000,39.0,11.5,2022-05-06 10:43:55.459000+01:00,0 days 00:00:00,,,,3.5
13,0 days 02:07:39.260000,40.0,24.0,2022-05-09 13:10:42.553000+01:00,0 days 00:00:00,,,,3.0
