,Start_SleepTime,End_SleepTime,Awake,Sleep,Out_Of_Bed,Light_Sleep,Deep_Sleep,REM,Total_Hours
1,2022-04-25 01:53:00,2022-04-25 09:26:00,0 days 00:04:00,0 days,0 days,0 days 04:19:00,0 days 00:44:00,0 days 02:26:00,0 days 07:29:00
2,2022-04-25 22:57:00,2022-04-26 07:03:00,0 days 00:02:00,0 days,0 days,0 days 05:39:00,0 days 01:08:00,0 days 01:17:00,0 days 08:04:00
3,2022-04-26 21:52:00,2022-04-27 07:47:00,0 days 00:01:00,0 days,0 days,0 days 06:49:00,0 days 01:20:00,0 days 01:45:00,0 days 09:54:00
4,2022-04-28 00:20:00,2022-04-28 07:02:00,0 days 00:00:00,0 days,0 days,0 days 04:57:00,0 days 00:57:00,0 days 00:48:00,0 days 06:42:00
5,2022-04-29 02:33:00,2022-04-29 04:35:00,0 days 00:00:00,0 days,0 days,0 days 01:38:00,0 days 00:12:00,0 days 00:12:00,0 days 02:02:00
6,2022-04-30 01:57:00,2022-04-30 10:29:00,0 days 00:00:00,0 days,0 days,0 days 05:17:00,0 days 01:44:00,0 days 01:31:00,0 days 08:32:00
7,2022-05-01 00:51:00,2022-05-01 08:56:00,0 days 00:00:00,0 days,0 days,0 days 06:31:00,0 days 00:08:00,0 days 01:26:00,0 days 08:05:00
8,2022-05-02 00:05:00,2022-05-02 09:59:00,0 days 00:00:00,0 days,0 days,0 days 06:51:00,0 days 01:05:00,0 days 01:58:00,0 days 09:54:00
9,2022-05-03 00:23:00,2022-05-03 07:30:00,0 days 00:05:00,0 days,0 days,0 days 04:14:00,0 days 01:14:00,0 days 01:34:00,0 days 07:02:00
10,2022-05-04 01:39:00,2022-05-04 09:07:00,0 days 00:00:00,0 days,0 days,0 days 04:49:00,0 days 00:34:00,0 days 02:05:00,0 days 07:28:00
11,2022-05-05 00:55:00,2022-05-05 07:31:00,0 days 00:00:00,0 days,0 days,0 days 04:57:00,0 days 00:28:00,0 days 01:11:00,0 days 06:36:00
12,2022-05-06 00:57:00,2022-05-06 08:47:00,0 days 00:00:00,0 days,0 days,0 days 06:12:00,0 days 00:41:00,0 days 00:51:00,0 days 07:44:00
