,Start_SleepTime,End_SleepTime,Awake,Sleep,Out_Of_Bed,Light_Sleep,Deep_Sleep,REM,Total_Hours
1,2022-04-25 02:26:16,2022-04-25 09:25:15,0 days 00:12:45,0 days,0 days,0 days 02:32:59,0 days 03:20:00,0 days 00:53:15,0 days 06:46:14
2,2022-04-26 01:51:39,2022-04-26 08:10:24,0 days 00:12:30,0 days,0 days,0 days 01:48:45,0 days 03:25:00,0 days 00:52:30,0 days 06:06:15
3,2022-04-26 22:20:26,2022-04-27 10:25:21,0 days 00:26:42,0 days,0 days,0 days 04:01:35,0 days 06:14:49,0 days 01:21:49,0 days 11:38:13
4,2022-04-30 03:23:00,2022-04-30 09:19:00,0 days 00:00:00,0 days,0 days,0 days 04:25:00,0 days 00:48:00,0 days 00:43:00,0 days 05:56:00
5,2022-05-01 01:36:00,2022-05-01 08:58:00,0 days 00:02:00,0 days,0 days,0 days 05:38:00,0 days 00:46:00,0 days 00:56:00,0 days 07:20:00
6,2022-05-02 00:53:00,2022-05-02 08:13:00,0 days 00:00:00,0 days,0 days,0 days 06:04:00,0 days 00:20:00,0 days 00:56:00,0 days 07:20:00
7,2022-05-03 00:04:00,2022-05-03 08:42:00,0 days 00:05:00,0 days,0 days,0 days 05:09:00,0 days 02:13:00,0 days 01:11:00,0 days 08:33:00
8,2022-05-04 01:35:00,2022-05-04 09:47:00,0 days 00:00:00,0 days,0 days,0 days 05:06:00,0 days 01:45:00,0 days 01:21:00,0 days 08:12:00
9,2022-05-05 02:23:00,2022-05-05 11:29:00,0 days 00:00:00,0 days,0 days,0 days 06:21:00,0 days 01:23:00,0 days 01:22:00,0 days 09:06:00
10,2022-05-06 05:58:00,2022-05-06 12:23:00,0 days 00:00:00,0 days,0 days,0 days 04:52:00,0 days 00:59:00,0 days 00:34:00,0 days 06:25:00
11,2022-05-08 02:21:00,2022-05-08 12:59:00,0 days 00:00:00,0 days,0 days,0 days 07:16:00,0 days 01:24:00,0 days 01:39:00,0 days 10:19:00
